Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5495,VT,2.99,23500.0,06/25/2010,
5868,VT,3,16910,12/17/2004,
5060,VT,3,28977,12/20/2007,
5445,VT,3,24688,10/20/2008,
5068,VT,3,18750,07/23/2004,
5602,VT,3,25305.74,03/18/2005,
5445,VT,3,24514,02/28/2009,
5055,VT,3,20000,08/25/2009,
5647,VT,3,31750.6,7-1-2005,
5403,VT,3,24482.8,8-1-2009,
5091,VT,3,23823,8-6-2009,
5143,VT,3,27883.81,10-12-2006,
5777,VT,3,18298.2,12-3-2009,
5701,VT,3,21371,5-7-2009,
5445,VT,3.0,17700.0,11/29/2011,
5661,VT,3.0,16502.0,09/13/2011,
5301,VT,3.0,12900.0,03/22/2012,
5346,VT,3.0,14700.0,7-5-2012,
5640,VT,3.0,14250.0,08/21/2012,
5445,VT,3.0,14650.0,08/30/2012,
5262,VT,3.01,18007.0,02/21/2010,
5747,VT,3.04,34299,07/13/2006,
5841,VT,3.04,32118.43,12-1-2008,
5777,VT,3.04,19598,07/17/2008,
5065,VT,3.06,23075,5-11-2007,
5735,VT,3.06,17900.0,06/25/2012,
5482,VT,3.06,13500.0,12-10-2012,
5143,VT,3.06,24470.0,12/19/2012,
5735,VT,3.06,13150.0,09/28/2012,
5443,VT,3.075,14456.23,08/15/2010,
5656,VT,3.075,23500.0,06/30/2010,
5767,VT,3.08,24980,10-8-2004,
5602,VT,3.08,22559.0,12-4-2011,
5826,VT,3.1,24219,9-2-2009,
5443,VT,3.15,,11/14/2011,
5602,VT,3.15,24456,7-3-2008,
5465,VT,3.15,24413.0,11-5-2010,
5491,VT,3.15,23500.0,09/30/2010,
5462,VT,3.15,25200.0,08/16/2011,
5676,VT,3.15,22050.0,7-7-2011,
5469,VT,3.15,22050.0,05/25/2011,
5827,VT,3.15,25200.0,04/28/2011,
5446,VT,3.15,25200.0,4-11-2011,
5677,VT,3.15,19500.0,01/24/2011,
5464,VT,3.15,16984.0,03/29/2012,
5672,VT,3.15,14424.0,6-2-2012,
5482,VT,3.15,17984.0,10/31/2012,
5001,VT,3.185,17407.0,08/21/2012,
5641,VT,3.192,,07/16/2010,
5473,VT,3.2,23500.0,09/22/2010,
5482,VT,3.2,39463,1-11-2009,
5482,VT,3.2,21000,11/21/2009,
5354,VT,3.2,20900,10-5-2009,
5201,VT,3.2,24190,01/15/2009,
5035,VT,3.2,16391,09/25/2009,
5446,VT,3.2,30377,01/16/2009,
5055,VT,3.2,19115.55,4-1-2010,
5070,VT,3.2,29799.39,3-10-2010,
5344,VT,3.2,20700.0,12/31/2009,
5055,VT,3.22,19167.0,12/17/2010,
5075,VT,3.22,19167.0,11/29/2010,
5452,VT,3.22,18547.0,09/23/2010,
5091,VT,3.22,19295.57,09/30/2011,
5301,VT,3.22,20522.0,08/15/2011,
5775,VT,3.22,21735.0,08/15/2011,
5828,VT,3.22,17862.0,1-11-2011,
5701,VT,3.22,14750.0,8-2-2012,
5054,VT,3.24,29915,09/19/2008,
5455,VT,3.24,47746.68,09/26/2008,
5301,VT,3.24,33996,03/28/2008,
5836,VT,3.24,40215,12-7-2007,
5038,VT,3.24,17095.57,04/14/2011,
5468,VT,3.27,,11/21/2012,
5403,VT,3.27,19435.9,07/18/2012,
5477,VT,3.27,19991.0,07/13/2012,
5403,VT,3.27,9901.0,07/28/2012,
5452,VT,3.27,19323.0,10/15/2012,
5672,VT,3.27,18736.0,10-3-2012,
5674,VT,3.27,10147.0,09/24/2012,
5602,VT,3.27,9913.0,9-5-2012,
5673,VT,3.27,9821.0,10-10-2012,
5465,VT,3.27,9979.0,10-9-2012,
5495,VT,3.27,20175.0,10-9-2012,
5465,VT,3.27,19232.0,10/25/2012,
5672,VT,3.27,18123.0,10-10-2012,
5495,VT,3.27,19574.0,11-5-2012,
5602,VT,3.27,15860.0,12/18/2012,
5149,VT,3.29,18448.66,12-7-2011,
5401,VT,3.29,18062.0,1-10-2012,
5363,VT,3.3,23974,06/29/2009,
5855,VT,3.3,26382.6,09/22/2009,
5445,VT,3.3,30696,02/27/2006,
5465,VT,3.33,24939,10-8-2004,
5819,VT,3.33,22910.0,10-3-2011,
5445,VT,3.33,19647.0,09/27/2011,
5851,VT,3.33,22474.0,06/18/2011,
5401,VT,3.33,19647.0,4-6-2011,
5458,VT,3.36,22550.0,11/14/2010,
5486,VT,3.36,22550.0,9-9-2010,
5465,VT,3.36,29741.0,08/20/2010,
5777,VT,3.36,24516.0,07/29/2010,
5641,VT,3.36,19358.0,07/23/2010,
5401,VT,3.36,21684.0,07/15/2010,
5454,VT,3.36,23783.0,06/14/2010,
5446,VT,3.36,40040.0,05/26/2010,
5471,VT,3.36,24093.0,02/25/2010,
5403,VT,3.36,22546.0,01/29/2010,
5074,VT,3.36,15430.0,01/22/2010,
5491,VT,3.36,14296.0,01/16/2010,
5660,VT,3.36,22034.66,6-7-2011,
5482,VT,3.36,19875.0,01/31/2012,
5486,VT,3.36,16230.0,5-10-2012,
5456,VT,3.36,22060.0,9-4-2012,
5452,VT,3.4,24020,01/27/2009,
5344,VT,3.4,26921.0,02/23/2010,
5443,VT,3.42,30750,11/14/2008,
5648,VT,3.42,31434,1-5-2007,
5079,VT,3.42,33916,03/15/2007,
5346,VT,3.42,19550.0,07/16/2010,
5655,VT,3.42,23919.0,6-3-2010,
5730,VT,3.44,,10/31/2011,
5676,VT,3.44,31110.06,11-10-2010,
